# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47K of event 'task-clock:ppp'
# Event count (approx.): 23553270750
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     8.13%  [k] _raw_spin_unlock_irqrestore
     7.28%  [.] __memmove_avx512_unaligned_erms
     6.33%  [k] finish_task_switch.isra.0
     5.28%  [.] _int_malloc
     4.97%  [.] malloc
     4.52%  [.] _int_free
     4.26%  [.] cfree@GLIBC_2.2.5
     4.09%  [k] _raw_spin_unlock_irq
     2.31%  [.] malloc_consolidate
     1.21%  [.] <tokio::sync::batch_semaphore::Acquire as core::future::future::Future>::poll
     0.95%  [.] _ZN10a2a_server7handler21DefaultRequestHandler15start_execution28_$u7b$$u7b$closure$u7d$$u7d$28_$u7b$$u7b$closure$u7d$$u7d$17h1ee6fba5cf66df4aE.llvm.6777118041810832509
     0.92%  [.] <alloc::string::String as core::clone::Clone>::clone
     0.85%  [.] _int_free_merge_chunk
     0.72%  [.] tokio::runtime::scheduler::multi_thread::worker::Context::run
     0.72%  [.] unlink_chunk.isra.0
     0.71%  [.] _$LT$a2a_server..task_store..inmemory..InMemoryTaskStore$u20$as$u20$a2a_server..task_store..store..TaskStore$GT$::get::_$u7b$$u7b$closure$u7d$$u7d$::h2e6107d62b55ec40
     0.64%  [.] <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
     0.62%  [.] _ZN5tokio4sync15batch_semaphore9Semaphore18add_permits_locked17h77c10671286a41caE.llvm.16715028704940858140
     0.58%  [.] _$LT$a2a_server..handler..DefaultRequestHandler$u20$as$u20$a2a_server..handler..RequestHandler$GT$::send_message::_$u7b$$u7b$closure$u7d$$u7d$::h5f7471e4fba67a07
     0.58%  [.] _RNvCs1Y7DaGC1cwg_7___rustc11___rdl_alloc
     0.51%  [.] tokio::sync::batch_semaphore::Semaphore::release
     0.51%  [.] _ZN71_$LT$core..hash..sip..Hasher$LT$S$GT$$u20$as$u20$core..hash..Hasher$GT$5write17h90019e03c85df12eE.llvm.13187592016845211832
     0.51%  [k] do_syscall_64
     0.50%  [.] hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_catch
     0.49%  [.] _$LT$a2a_server..task_store..inmemory..InMemoryTaskStore$u20$as$u20$a2a_server..task_store..store..TaskStore$GT$::update::_$u7b$$u7b$closure$u7d$$u7d$::hd3e4292a75dcec2f
     0.47%  [.] a2a_server::jsonrpc::handle_jsonrpc::_$u7b$$u7b$closure$u7d$$u7d$::h935c1e33d1b459d7
     0.43%  [.] <core::future::poll_fn::PollFn<F> as core::future::future::Future>::poll
     0.42%  [.] __memcmp_evex_movbe
     0.42%  [.] <futures_util::stream::unfold::Unfold<T,F,Fut> as futures_core::stream::Stream>::poll_next
     0.41%  [.] _ZN80_$LT$F$u20$as$u20$axum..handler..Handler$LT$$LP$M$C$T1$C$T2$C$T3$RP$$C$S$GT$$GT$4call28_$u7b$$u7b$closure$u7d$$u7d$17hdd312d3680bdb8e4E.llvm.9798957581643798095
     0.41%  [.] 0x0000000000000896
     0.41%  [.] tokio::runtime::scheduler::multi_thread::worker::Context::run_task
     0.37%  [.] serde_json::ser::format_escaped_str
     0.37%  [.] <bytes::bytes_mut::BytesMut as bytes::buf::buf_mut::BufMut>::put_slice
     0.37%  [.] <futures_util::future::future::map::Map<Fut,F> as core::future::future::Future>::poll
     0.37%  [.] _RNvCs1Y7DaGC1cwg_7___rustc12___rust_alloc
     0.37%  [.] a2a_server::handler::DefaultRequestHandler::start_execution::_$u7b$$u7b$closure$u7d$$u7d$::h93c63824093a449e
     0.36%  [.] _ZN4axum5serve17handle_connection28_$u7b$$u7b$closure$u7d$$u7d$28_$u7b$$u7b$closure$u7d$$u7d$17h34687b2d913296abE.llvm.11602243760025912894
     0.34%  [.] <a2a::types::Task as core::clone::Clone>::clone
     0.34%  [.] _ZN10serde_json5value3ser81_$LT$impl$u20$serde_core..ser..Serialize$u20$for$u20$serde_json..value..Value$GT$9serialize17hc2759f33e8847fb1E.llvm.974802978299743105
     0.32%  [.] tokio::runtime::scheduler::multi_thread::worker::<impl tokio::runtime::scheduler::multi_thread::handle::Handle>::schedule_local
     0.30%  [.] hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_write
     0.30%  [.] _ZN5tokio4sync6notify15NotifiedProject13poll_notified17h19d92f822e999749E.llvm.16715028704940858140
     0.30%  [.] tokio::sync::broadcast::Sender<T>::send
     0.29%  [.] _RNvCs1Y7DaGC1cwg_7___rustc35___rust_no_alloc_shim_is_unstable_v2
     0.28%  [.] _ZN91_$LT$axum..routing..route..RouteFuture$LT$E$GT$$u20$as$u20$core..future..future..Future$GT$4poll17h098f3555cccabd91E.llvm.5877613593704100012
     0.27%  [.] _ZN58_$LT$a2a..types..Message$u20$as$u20$core..clone..Clone$GT$5clone17h462a618e9bb27dcbE.llvm.11966224601570237724
     0.27%  [.] _ZN5tokio7runtime4task4list19OwnedTasks$LT$S$GT$10bind_inner17h586a6b249501221eE.llvm.2763628079624119439
     0.24%  [.] _RNvCs1Y7DaGC1cwg_7___rustc14___rust_dealloc
     0.24%  [k] crng_make_state
     0.24%  [.] alloc::collections::btree::map::entry::VacantEntry<K,V,A>::insert_entry
     0.23%  [.] __lll_lock_wait_private
     0.23%  [.] core::str::converts::from_utf8
     0.23%  [.] tokio::runtime::task::state::State::transition_to_notified_by_val
     0.22%  [k] futex_hash
     0.22%  [.] <futures_util::future::future::map::Map<Fut,F> as core::future::future::Future>::poll
     0.22%  [.] bytes::bytes_mut::shared_v_drop
     0.21%  [.] _ZN4core3ptr37drop_in_place$LT$a2a..types..Part$GT$17h6aa011234e553d88E.llvm.11966224601570237724
     0.21%  [.] _ZN5tokio4sync9broadcast17Receiver$LT$T$GT$8recv_ref17h8119be0bfc8c3fe9E.llvm.2763628079624119439
     0.21%  [.] tokio::runtime::io::scheduled_io::ScheduledIo::poll_readiness
     0.20%  [.] _ZN4core3ptr40drop_in_place$LT$a2a..types..Message$GT$17h819dcbd0c6491f65E.llvm.11966224601570237724
     0.20%  [.] __GI___libc_write
     0.20%  [.] _mid_memalign.isra.0
     0.20%  [.] realloc
     0.20%  [.] <hashbrown::raw::RawTable<T,A> as core::ops::drop::Drop>::drop
     0.20%  [.] tokio::runtime::task::state::State::transition_to_idle
     0.19%  [.] tokio::runtime::scheduler::multi_thread::queue::Steal<T>::steal_into
